Dataset,Sweep,depth_penalty,feature_penalty_weight,accuracy,f1,balanced_accuracy,depth,nodes,leaves,n_features,best_alpha,best_score
KC2,depth_penalty,0.01,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.1202064825867174,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.01,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.045222328908746036,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.037142857142857144,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.06461008401078686,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.06428571428571428,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.08399783911282765,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.09142857142857143,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.10338559421486848,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.11857142857142856,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.12132145414772971,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.1457142857142857,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.10859803744236726,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.17285714285714288,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.11509893016446826,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.2,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.11888292601762183,0.8089171974522293
QSARBiodeg,depth_penalty,0.0001,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.018811667445551503,0.7728706624605678
QSARBiodeg,depth_penalty,0.00019306977288832496,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.018314954105152752,0.7728706624605678
QSARBiodeg,depth_penalty,0.0003727593720314938,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.01848177095041051,0.7728706624605678
QSARBiodeg,depth_penalty,0.0007196856730011522,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.018325101565249337,0.7728706624605678
QSARBiodeg,depth_penalty,0.0013894954943731374,0.039638958863878505,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.03170662238928288,0.7602523659305994
QSARBiodeg,depth_penalty,0.0026826957952797246,0.039638958863878505,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.028140152176642196,0.7602523659305994
QSARBiodeg,depth_penalty,0.005179474679231213,0.039638958863878505,0.7570977917981072,0.7605549152530267,0.7456163773920783,1,3,2,1,0.08249116128184542,0.7570977917981072
QSARBiodeg,depth_penalty,0.01,0.039638958863878505,0.7570977917981072,0.7605549152530267,0.7456163773920783,1,3,2,1,0.09549969597415855,0.7570977917981072
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.01,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.01716638441650935,0.7728706624605678
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.037142857142857144,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.027986686469608432,0.7602523659305994
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.06428571428571428,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.02775871891128287,0.7602523659305994
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.09142857142857143,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.028534656276154383,0.7602523659305994
